@relation 'R_data_frame-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R7,9-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R1,4-5-weka.filters.unsupervised.attribute.Remove-R3'

@attribute MTREND_130 {DOWN,UP}
@attribute MTREND_20 {DOWN,UP}
@attribute WINCALL_5M {0,1}

@data
DOWN,DOWN,1
DOWN,DOWN,1
DOWN,DOWN,0
DOWN,DOWN,0
DOWN,DOWN,1
DOWN,DOWN,1
DOWN,DOWN,0
DOWN,DOWN,1
DOWN,DOWN,0
DOWN,DOWN,0
DOWN,UP,1
DOWN,DOWN,1
DOWN,DOWN,1
DOWN,DOWN,1
DOWN,DOWN,0
DOWN,DOWN,0
DOWN,UP,0
DOWN,UP,1
DOWN,DOWN,1
DOWN,DOWN,1
DOWN,DOWN,1
DOWN,DOWN,1
DOWN,DOWN,0
DOWN,UP,0
DOWN,UP,1
DOWN,UP,1
DOWN,UP,1
DOWN,UP,1
DOWN,UP,1
DOWN,UP,0
DOWN,UP,0
UP,UP,1
DOWN,UP,1
DOWN,UP,1
DOWN,UP,1
DOWN,UP,0
DOWN,UP,1
DOWN,UP,1
UP,UP,1
DOWN,UP,1
DOWN,UP,1
DOWN,UP,1
UP,UP,1
UP,UP,0
UP,UP,0
UP,UP,1
DOWN,UP,0
UP,UP,0
UP,UP,1
DOWN,DOWN,1
DOWN,DOWN,0
UP,UP,0
UP,UP,1
UP,UP,0
UP,UP,1
UP,UP,1
UP,UP,1
UP,DOWN,1
UP,UP,1
UP,UP,1
UP,UP,1
UP,UP,1
UP,UP,1
UP,UP,1
UP,UP,1
UP,UP,1
UP,UP,1
UP,UP,1
UP,UP,1
UP,UP,0
UP,UP,0
UP,UP,0
UP,UP,0
UP,UP,1
UP,UP,1
UP,UP,1
UP,UP,1
UP,UP,1
UP,UP,1
UP,UP,1
UP,UP,1
UP,UP,0
UP,UP,1
UP,UP,0
UP,UP,0
UP,UP,0
UP,UP,0
UP,UP,1
UP,UP,0
UP,UP,0
UP,UP,1
UP,DOWN,0
UP,UP,0
UP,UP,0
UP,UP,0
UP,DOWN,0
UP,UP,0
UP,UP,0
UP,DOWN,1
UP,DOWN,1
UP,DOWN,0
UP,DOWN,0
UP,DOWN,0
UP,DOWN,0
UP,DOWN,1
UP,DOWN,0
UP,DOWN,0
UP,DOWN,0
UP,DOWN,1
UP,DOWN,0
UP,UP,1
UP,DOWN,1
UP,DOWN,1
DOWN,DOWN,1
UP,UP,1
UP,DOWN,1
UP,UP,1
UP,DOWN,1
UP,DOWN,1
UP,UP,1
UP,UP,0
UP,UP,0
UP,DOWN,0
UP,UP,0
UP,UP,0
UP,UP,0
UP,DOWN,0
DOWN,DOWN,0
UP,DOWN,0
